,event_id,match_name,winner_team_name,defeated_team_name,winner_score,defeated_score,match_date,game_number,map_name,winner_team_id,defeated_team_id
58,1,spirit-vs-astralis-m1-nuke.dem,Team Spirit,Astralis,13.0,5.0,2025-02-02,m1,nuke,11.0,8.0
59,1,spirit-vs-astralis-m2-dust2-p1.dem,Team Spirit,Astralis,1.0,1.0,2025-02-02,m2,dust2,11.0,8.0
60,1,spirit-vs-astralis-m2-dust2-p2.dem,Team Spirit,Astralis,12.0,3.0,2025-02-02,m2,dust2,11.0,8.0
61,1,the-mongolz-vs-eternal-fire-m1-anubis.dem,The MongolZ,Eternal Fire,13.0,7.0,2025-02-07,m1,anubis,12.0,3.0
62,1,the-mongolz-vs-eternal-fire-m2-mirage-p1.dem,,,,,2025-02-07,m2,mirage,,
63,1,the-mongolz-vs-eternal-fire-m2-mirage-p2.dem,Eternal Fire,The MongolZ,17.0,16.0,2025-02-07,m2,mirage,3.0,12.0
64,1,the-mongolz-vs-eternal-fire-m2-mirage-p3.dem,The MongolZ,Eternal Fire,5.0,1.0,2025-02-07,m2,mirage,12.0,3.0
65,1,the-mongolz-vs-liquid-m1-nuke-p1.dem,The MongolZ,Team Liquid,5.0,4.0,2025-02-02,m1,nuke,12.0,13.0
66,1,the-mongolz-vs-liquid-m1-nuke-p2.dem,The MongolZ,Team Liquid,4.0,2.0,2025-02-02,m1,nuke,12.0,13.0
67,1,the-mongolz-vs-liquid-m1-nuke-p3.dem,Team Liquid,The MongolZ,7.0,1.0,2025-02-02,m1,nuke,13.0,12.0
68,1,the-mongolz-vs-liquid-m2-mirage.dem,The MongolZ,Team Liquid,13.0,8.0,2025-02-02,m2,mirage,12.0,13.0
69,1,the-mongolz-vs-liquid-m3-ancient.dem,The MongolZ,Team Liquid,13.0,11.0,2025-02-02,m3,ancient,12.0,13.0
70,1,the-mongolz-vs-natus-vincere-m1-mirage.dem,Natus Vincere,The MongolZ,13.0,3.0,2025-02-04,m1,mirage,15.0,12.0
71,1,the-mongolz-vs-natus-vincere-m2-ancient.dem,Natus Vincere,The MongolZ,13.0,9.0,2025-02-04,m2,ancient,15.0,12.0
72,1,virtus-pro-vs-spirit-m1-train.dem,Team Spirit,Virtus.Pro,13.0,2.0,2025-02-07,m1,train,11.0,5.0
73,1,virtus-pro-vs-spirit-m2-ancient.dem,Team Spirit,Virtus.Pro,13.0,9.0,2025-02-07,m2,ancient,11.0,5.0
74,1,virtus-pro-vs-vitality-m1-anubis.dem,Team Vitality,Virtus.Pro,13.0,8.0,2025-02-04,m1,anubis,16.0,5.0
75,1,virtus-pro-vs-vitality-m2-inferno.dem,Team Vitality,Virtus.Pro,13.0,5.0,2025-02-04,m2,inferno,16.0,5.0
76,1,vitality-vs-3dmax-m1-inferno.dem,Team Vitality,3DMAX,19.0,16.0,2025-02-01,m1,inferno,16.0,1.0
77,1,vitality-vs-3dmax-m2-nuke-p1.dem,3DMAX,Team Vitality,5.0,4.0,2025-02-01,m2,nuke,1.0,16.0
78,1,vitality-vs-3dmax-m2-nuke-p2.dem,3DMAX,Team Vitality,2.0,1.0,2025-02-01,m2,nuke,1.0,16.0
79,1,vitality-vs-3dmax-m2-nuke-p3.dem,Team Vitality,3DMAX,8.0,2.0,2025-02-01,m2,nuke,16.0,1.0
80,1,vitality-vs-faze-m1-nuke.dem,Team Vitality,FaZe Clan,13.0,3.0,2025-02-02,m1,nuke,16.0,4.0
81,1,vitality-vs-faze-m2-anubis.dem,FaZe Clan,Team Vitality,13.0,10.0,2025-02-02,m2,anubis,4.0,16.0
82,1,vitality-vs-faze-m3-dust2.dem,Team Vitality,FaZe Clan,19.0,16.0,2025-02-02,m3,dust2,16.0,4.0
83,1,vitality-vs-spirit-m1-dust2.dem,Team Vitality,Team Spirit,13.0,6.0,2025-02-09,m1,dust2,16.0,11.0
84,1,vitality-vs-spirit-m2-nuke.dem,Team Vitality,Team Spirit,13.0,5.0,2025-02-09,m2,nuke,16.0,11.0
85,1,vitality-vs-spirit-m3-mirage.dem,Team Vitality,Team Spirit,13.0,11.0,2025-02-09,m3,mirage,16.0,11.0
86,1,vitality-vs-the-mongolz-m1-mirage.dem,Team Vitality,The MongolZ,13.0,7.0,2025-02-08,m1,mirage,16.0,12.0
87,1,vitality-vs-the-mongolz-m2-nuke.dem,Team Vitality,The MongolZ,13.0,9.0,2025-02-08,m2,nuke,16.0,12.0
