,armor,attacker_4k_rounds_total,attacker_X,attacker_Y,attacker_Z,attacker_ct_losing_streak,attacker_current_equip_value,attacker_health,attacker_is_ct_timeout,attacker_is_terrorist_timeout,attacker_place,attacker_name,attacker_steamid,attacker_t_losing_streak,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_losing_streak,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,is_ct_timeout,is_terrorist_timeout,t_losing_streak,t_team_clan_name,t_side,tick,total_rounds_played,user_4k_rounds_total,user_X,user_Y,user_Z,user_ct_losing_streak,user_current_equip_value,user_health,user_is_ct_timeout,user_is_terrorist_timeout,user_place,user_name,user_steamid,user_t_losing_streak,user_team_clan_name,user_side,user_total_rounds_played,weapon,total_dmg
83,84,0.0,863.9719,2409.4634,191.34196,1.0,5600.0,100.0,False,False,BombsiteB,iM,7.656119805025024e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,0,2,72,generic,False,False,1.0,FaZe Clan,t,32291,3,0.0,77.63934,1396.8655,102.925896,1.0,4300.0,74,False,False,Banana,frozen,76561198068422762,1.0,FaZe Clan,t,3,inferno,2
84,84,0.0,863.9751,2416.7473,159.86969,1.0,5600.0,100.0,False,False,BombsiteB,iM,7.656119805025024e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,0,3,69,generic,False,False,1.0,FaZe Clan,t,32304,3,0.0,100.939964,1428.2885,103.13258,1.0,4300.0,72,False,False,Banana,frozen,76561198068422762,1.0,FaZe Clan,t,3,inferno,3
85,84,0.0,863.9754,2427.2952,140.0843,1.0,5600.0,100.0,False,False,BombsiteB,iM,7.656119805025024e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,0,4,65,generic,False,False,1.0,FaZe Clan,t,32316,3,0.0,119.878716,1462.2885,103.59334,1.0,4300.0,69,False,False,Banana,frozen,76561198068422762,1.0,FaZe Clan,t,3,inferno,4
86,76,0.0,817.469,2462.9214,136.03146,1.0,5600.0,100.0,False,False,BombsiteB,iM,7.656119805025024e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,8,13,52,generic,False,False,1.0,FaZe Clan,t,32734,3,0.0,277.17612,1576.8622,122.588486,1.0,4300.0,65,False,False,Banana,frozen,76561198068422762,1.0,FaZe Clan,t,3,hegrenade,21
90,100,0.0,-22.899048,879.11584,80.03125,1.0,2400.0,100.0,False,False,TRamp,karrigan,7.656119798943026e+16,1.0,FaZe Clan,t,3.0,1.0,Natus Vincere,ct,0,1,99,generic,False,False,1.0,FaZe Clan,t,32875,3,0.0,394.39413,1986.812,136.03122,1.0,4600.0,100,False,False,Banana,jL,76561198176878303,1.0,Natus Vincere,ct,3,inferno,1
91,100,0.0,-41.022278,889.6249,78.597565,1.0,2400.0,100.0,False,False,TRamp,karrigan,7.656119798943026e+16,1.0,FaZe Clan,t,3.0,1.0,Natus Vincere,ct,0,2,97,generic,False,False,1.0,FaZe Clan,t,32888,3,0.0,400.39325,1985.0189,136.03122,1.0,4600.0,99,False,False,Banana,jL,76561198176878303,1.0,Natus Vincere,ct,3,inferno,2
92,100,0.0,-59.158752,912.6511,74.24723,1.0,2400.0,100.0,False,False,TRamp,karrigan,7.656119798943026e+16,1.0,FaZe Clan,t,3.0,1.0,Natus Vincere,ct,0,3,94,generic,False,False,1.0,FaZe Clan,t,32901,3,0.0,404.59494,1978.5062,136.03123,1.0,4600.0,97,False,False,Banana,jL,76561198176878303,1.0,Natus Vincere,ct,3,inferno,3
93,100,0.0,423.67413,1762.0472,134.03122,1.0,4600.0,94.0,False,False,Banana,jL,7.65611981768783e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,0,8,92,generic,False,False,1.0,FaZe Clan,t,33063,3,0.0,67.44061,1262.0748,96.77915,1.0,2400.0,100,False,False,Banana,karrigan,76561197989430253,1.0,FaZe Clan,t,3,inferno,8
94,100,0.0,423.67413,1762.0472,134.03122,1.0,4600.0,94.0,False,False,Banana,jL,7.65611981768783e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,0,8,84,generic,False,False,1.0,FaZe Clan,t,33075,3,0.0,66.669945,1299.088,98.39912,1.0,2400.0,92,False,False,Banana,karrigan,76561197989430253,1.0,FaZe Clan,t,3,inferno,8
95,100,0.0,423.67413,1762.0472,134.03122,1.0,4600.0,94.0,False,False,Banana,jL,7.65611981768783e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,0,8,76,generic,False,False,1.0,FaZe Clan,t,33088,3,0.0,66.48749,1336.4174,100.33406,1.0,2400.0,84,False,False,Banana,karrigan,76561197989430253,1.0,FaZe Clan,t,3,inferno,8
