,round_num,clutcher_steamid,clutcher_team_side,opponents_at_start,clutch_kills,clutch_outcome,round_won,clutcher_survived_round,match_name,file_id,event_id
61,12,76561198168198200,ct,3,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
62,13,76561198045739761,t,4,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
63,14,76561198045739761,t,4,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
64,15,76561198179538505,t,4,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
65,17,76561198045739761,t,4,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
66,18,76561198083485506,ct,3,1,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
67,19,76561198179538505,t,2,2,won,True,True,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
68,20,76561198044118796,ct,3,1,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
69,21,76561198812513923,ct,5,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
70,24,76561198410750263,ct,2,1,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
71,26,76561198045739761,t,3,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
72,27,76561198031890115,t,3,1,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
73,28,76561198045739761,ct,2,1,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
74,29,76561198168198200,ct,3,1,save,False,True,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
75,1,76561197967432889,t,3,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
76,2,76561198410750263,t,5,0,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
77,4,76561198083485506,t,2,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
78,6,76561198812513923,t,3,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
79,9,76561198083485506,t,5,0,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
80,10,76561198168198200,ct,3,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
81,11,76561198047876970,ct,5,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
82,12,76561198045739761,ct,2,0,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
83,13,76561198083485506,ct,2,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
84,14,76561198031890115,t,4,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
85,15,76561198047876970,t,5,0,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
86,16,76561198031890115,t,4,0,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
87,17,76561198031890115,t,3,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
88,18,76561197967432889,ct,2,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
89,19,76561198083485506,ct,4,1,save,False,True,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
90,20,76561198083485506,ct,3,1,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
91,22,76561198045739761,t,2,0,lost,False,False,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
92,23,76561198045739761,t,3,0,save,False,True,eternal-fire-vs-3dmax-m3-dust2.dem,4410,1
93,1,76561198083485506,t,2,0,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
94,2,76561198068422762,ct,5,2,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
95,3,76561198068422762,ct,5,1,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
96,4,76561198201620490,ct,3,0,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
97,8,76561197997351207,ct,2,1,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
98,9,76561198068422762,ct,3,0,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
99,10,76561198201620490,ct,4,3,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
100,11,76561198201620490,ct,5,0,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
101,12,76561198201620490,ct,4,1,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
102,13,76561198812513923,ct,3,0,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
103,14,76561197967432889,ct,3,0,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
104,15,76561198812513923,ct,3,0,save,False,True,eternal-fire-vs-faze-m1-anubis.dem,4411,1
105,16,76561197989430253,t,3,1,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
106,17,76561198068422762,t,2,0,lost,False,False,eternal-fire-vs-faze-m1-anubis.dem,4411,1
107,1,76561198812513923,ct,2,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
108,2,76561198201620490,t,4,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
109,3,76561198068422762,t,4,1,save,False,True,eternal-fire-vs-faze-m2-nuke.dem,4412,1
110,4,76561198068422762,t,4,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
111,5,76561198201620490,t,2,2,won,True,True,eternal-fire-vs-faze-m2-nuke.dem,4412,1
112,6,76561198068422762,t,3,2,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
113,7,76561197989430253,t,4,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
114,8,76561197989430253,t,5,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
115,9,76561198201620490,t,3,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
116,10,76561197997351207,t,3,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
117,11,76561198201620490,t,4,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
118,12,76561198410750263,ct,3,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
119,13,76561197967432889,t,3,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
120,14,76561198044118796,t,5,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
121,15,76561197967432889,t,2,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
122,16,76561197967432889,t,4,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
123,17,76561197967432889,t,5,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
124,18,76561198044118796,t,4,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
125,20,76561198201620490,ct,5,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
126,21,76561198201620490,ct,3,3,won,True,True,eternal-fire-vs-faze-m2-nuke.dem,4412,1
127,22,76561198201620490,ct,2,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
128,23,76561198812513923,t,4,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
129,24,76561198201620490,ct,3,2,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
130,25,76561198083485506,t,4,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
131,26,76561198201620490,ct,2,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
132,27,76561197967432889,t,4,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
133,28,76561198066693739,t,5,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
134,29,76561197989430253,t,2,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
135,30,76561197967432889,ct,2,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
136,31,76561198068422762,t,4,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
137,32,76561198044118796,ct,4,0,save,False,True,eternal-fire-vs-faze-m2-nuke.dem,4412,1
138,33,76561197989430253,t,4,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
139,34,76561198083485506,t,4,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
140,35,76561198083485506,t,3,2,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
141,36,76561198201620490,ct,3,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
142,37,76561198068422762,ct,4,0,save,False,True,eternal-fire-vs-faze-m2-nuke.dem,4412,1
143,38,76561198083485506,t,5,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
144,39,76561197989430253,ct,2,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
145,40,76561198410750263,ct,2,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
146,41,76561198410750263,ct,3,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
147,42,76561198068422762,t,5,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
148,43,76561198201620490,t,2,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
149,44,76561198201620490,t,5,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
150,45,76561197989430253,t,2,0,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
151,46,76561198044118796,t,4,1,lost,False,False,eternal-fire-vs-faze-m2-nuke.dem,4412,1
152,47,76561198066693739,ct,2,0,save,False,True,eternal-fire-vs-faze-m2-nuke.dem,4412,1
153,1,76561198080114546,t,2,2,won,True,True,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
154,3,76561198055109028,t,3,1,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
155,5,76561197967432889,ct,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
156,6,76561198080114546,t,3,0,save,False,True,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
157,7,76561198055109028,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
158,8,76561197995817501,t,5,0,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
159,11,76561197995817501,t,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
160,12,76561198055109028,t,2,2,won,True,True,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
161,13,76561198044118796,t,2,2,won,True,True,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
162,14,76561198055109028,ct,4,0,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
163,15,76561198044118796,t,3,0,save,False,True,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
164,18,76561198055109028,ct,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
165,19,76561198055109028,ct,4,1,save,False,True,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
166,20,76561198812513923,t,4,0,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
167,21,76561198083485506,t,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
168,22,76561198055109028,ct,2,1,save,False,True,eternal-fire-vs-virtus-pro-m1-anubis.dem,4413,1
169,1,76561198014259134,t,5,0,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p1.dem,4414,1
170,2,76561198014259134,t,4,1,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p1.dem,4414,1
171,3,76561197995817501,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p1.dem,4414,1
172,4,76561198812513923,ct,3,1,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p1.dem,4414,1
173,1,76561197967432889,ct,3,1,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
174,2,76561198083485506,ct,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
175,4,76561197995817501,t,2,0,save,False,True,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
176,5,76561198055109028,t,4,1,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
177,7,76561197995817501,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
178,8,76561198044045107,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
179,9,76561198044118796,t,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
180,10,76561198410750263,t,5,1,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
181,11,76561198410750263,t,3,2,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
182,12,76561198083485506,t,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
183,13,76561198083485506,t,4,0,save,False,True,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
