,event_id,match_name,winner_score,defeated_score,match_date,game_number,map_name,winner_team_id,defeated_team_id
0,10,3dmax-vs-spirit-m1-anubis.dem,13,6,2024-09-06,m1,anubis,1,11
1,10,3dmax-vs-spirit-m2-ancient.dem,13,6,2024-09-06,m2,ancient,11,1
2,10,3dmax-vs-spirit-m3-nuke.dem,13,2,2024-09-06,m3,nuke,11,1
3,10,9z-vs-3dmax-m1-inferno.dem,16,14,2024-09-06,m1,inferno,1,114
4,10,9z-vs-3dmax-m2-nuke-p1.dem,0,0,2024-09-06,m2,nuke,,
5,10,9z-vs-3dmax-m2-nuke-p2.dem,12,5,2024-09-06,m2,nuke,1,114
6,10,9z-vs-the-mongolz-m1-nuke.dem,13,10,2024-09-07,m1,nuke,12,114
7,10,9z-vs-the-mongolz-m2-ancient.dem,13,10,2024-09-07,m2,ancient,12,114
8,10,9z-vs-wildcard-m1-ancient.dem,13,6,2024-09-05,m1,ancient,114,133
9,10,9z-vs-wildcard-m2-nuke.dem,13,10,2024-09-05,m2,nuke,114,133
10,10,astralis-vs-complexity-m1-vertigo.dem,19,17,2024-09-11,m1,vertigo,25,8
11,10,astralis-vs-complexity-m2-inferno.dem,16,14,2024-09-11,m2,inferno,25,8
12,10,atox-vs-ence-m1-ancient.dem,13,3,2024-09-13,m1,ancient,137,136
13,10,atox-vs-ence-m2-nuke.dem,13,6,2024-09-13,m2,nuke,137,136
14,10,atox-vs-falcons-m1-ancient.dem,13,5,2024-09-12,m1,ancient,6,137
15,10,atox-vs-falcons-m2-anubis.dem,13,4,2024-09-12,m2,anubis,6,137
16,10,atox-vs-furia-m1-inferno.dem,13,6,2024-09-14,m1,inferno,9,137
17,10,atox-vs-furia-m2-nuke.dem,13,8,2024-09-14,m2,nuke,9,137
18,10,big-vs-complexity-m1-ancient.dem,13,10,2024-09-13,m1,ancient,2,25
19,10,big-vs-complexity-m2-vertigo.dem,13,11,2024-09-13,m2,vertigo,25,2
20,10,big-vs-complexity-m3-dust2.dem,13,1,2024-09-13,m3,dust2,2,25
21,10,big-vs-fnatic-m1-anubis.dem,13,4,2024-09-12,m1,anubis,2,141
22,10,big-vs-fnatic-m2-mirage.dem,13,6,2024-09-12,m2,mirage,2,141
23,10,big-vs-imperial-m1-nuke-p1.dem,4,2,2024-09-10,m1,nuke,2,142
24,10,big-vs-imperial-m1-nuke-p2.dem,9,6,2024-09-10,m1,nuke,2,142
25,10,big-vs-imperial-m2-mirage.dem,13,4,2024-09-10,m2,mirage,142,2
26,10,big-vs-imperial-m3-dust2.dem,13,10,2024-09-10,m3,dust2,142,2
27,10,big-vs-the-mongolz-m1-ancient.dem,22,19,2024-09-17,m1,ancient,2,12
28,10,big-vs-the-mongolz-m2-nuke.dem,13,11,2024-09-17,m2,nuke,12,2
29,10,big-vs-the-mongolz-m3-mirage.dem,13,9,2024-09-17,m3,mirage,12,2
30,10,complexity-vs-astralis-m1-vertigo.dem,13,10,2024-09-14,m1,vertigo,25,8
31,10,complexity-vs-astralis-m2-inferno.dem,13,6,2024-09-14,m2,inferno,8,25
32,10,complexity-vs-astralis-m3-nuke.dem,16,14,2024-09-14,m3,nuke,25,8
33,10,complexity-vs-m80-m1-ancient-p1.dem,2,1,2024-09-10,m80,m1,85,25
